二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,09992,9992.HK,Consumer Cyclical,98.4,A-优先三件套,0.0,14.506195,52.65,42.66,54.09,否,无,339.8,42.66,54.09,85.27,40.75,24.56,66.79,23.97,29.26,25.17,6.49,0.09,103.42,3.63,1.05,1.42,-1.19,4954220000.0
2,09636,9636.HK,Consumer Defensive,95.6,A-优先三件套,0.0,14.08728,61.95,22.85,26.02,否,无,84.05,22.85,26.02,51.31,1.64,nan,82.24,26.87,31.04,20.57,0.08,0.0,726.67,2.14,0.77,0.83,0.18,824247000.0
3,02097,2097.HK,Consumer Defensive,92.4,A-优先三件套,0.0,12.03299,58.29,35.21,43.39,否,无,502.5,35.21,43.39,35.44,25.14,33.58,31.14,17.54,24.08,23.28,0.61,0.01,1532.16,3.83,1.33,0.91,0.23,6039033000.0
4,01318,1318.HK,Consumer Defensive,92.2,A-优先三件套,0.0,20.623367,49.64,40.29,50.66,否,无,112.0,40.29,50.66,45.66,28.08,20.09,84.22,23.84,25.8,24.07,1.38,0.02,693.14,5.2,1.01,0.84,1.37,1199426000.0
5,01415,1415.HK,Technology,86.4,A-优先三件套,0.0,12.244228,50.72,46.37,32.68,否,无,43.06,46.37,32.68,48.23,47.09,18.7,10.25,5.63,27.12,13.19,10.85,0.23,15.14,1.69,2.34,1.23,1.14,316306000.0
6,02259,2259.HK,Basic Materials,85.7,A-优先三件套,7.0,19.554498,57.09,43.6,105.82,否,利润增长显著快于营收,268.0,43.6,105.82,49.8,22.52,29.55,52.7,29.75,19.12,17.82,5.2,0.08,89.47,4.09,0.6,1.12,0.66,2402470000.0
7,01681,1681.HK,Healthcare,84.6,A-优先三件套,0.0,9.549682,30.8,13.46,16.44,否,无,19.35,13.46,16.44,8.54,15.47,-0.57,78.05,31.55,23.77,17.58,3.32,0.05,275.41,3.22,0.56,1.06,1.35,1211796000.0
8,03606,3606.HK,Consumer Cyclical,82.6,A-优先三件套,8.0,13.804538,37.03,17.68,25.11,否,FCF/NI<70%,86.0,17.68,25.11,26.94,17.26,7.96,37.27,20.34,24.8,13.97,24.11,0.45,35.73,1.54,0.69,0.63,0.0,12055090552.0
9,02367,2367.HK,Consumer Defensive,80.9,A-优先三件套,8.0,14.348235,56.01,32.65,24.09,否,应收增速>营收,65.7,32.65,24.09,24.1,51.08,28.6,80.34,34.7,19.32,20.28,0.09,0.0,7783.46,11.27,0.58,0.71,1.94,1780622000.0
10,09985,9985.HK,Consumer Defensive,80.6,A-优先三件套,7.0,11.532367,46.53,15.96,111.19,否,利润增长显著快于营收,14.4,15.96,111.19,7.5,10.84,14.05,47.99,19.73,19.52,14.59,19.58,0.3,73.73,1.91,0.74,0.72,1.12,1494379000.0
